H,V,C,Munsell,R,G,B
2.5GY,0.2,2,2.5GY 0.2/2,3.376365952,10.77391603,0
5GY,0.2,2,5GY 0.2/2,0,11.6671335,0
7.5GY,0.2,2,7.5GY 0.2/2,0,12.33390361,0
7.5GY,0.2,4,7.5GY 0.2/4,0,14.45519409,0
10GY,0.2,2,10GY 0.2/2,0,12.69386831,0.10835622
10GY,0.2,4,10GY 0.2/4,0,15.60729846,0
2.5G,0.2,2,2.5G 0.2/2,0,12.9486411,2.068221821
2.5G,0.2,4,2.5G 0.2/4,0,16.01426934,1.249869693
5G,0.2,2,5G 0.2/2,0,13.14893425,3.920161117
5G,0.2,4,5G 0.2/4,0,16.23873819,3.477204033
7.5G,0.2,2,7.5G 0.2/2,0,13.3201827,5.886975598
7.5G,0.2,4,7.5G 0.2/4,0,16.46424271,6.289167706
10G,0.2,2,10G 0.2/2,0,13.48446739,8.502828486
10G,0.2,4,10G 0.2/4,0,16.65791853,10.97090626
2.5BG,0.2,2,2.5BG 0.2/2,0,13.60222569,12.09254406
2.5BG,0.2,4,2.5BG 0.2/4,0,16.75062972,15.48454885
5BG,0.2,2,5BG 0.2/2,0,13.51602219,16.72806717
5BG,0.2,4,5BG 0.2/4,0,16.56658468,21.96945677
7.5BG,0.2,2,7.5BG 0.2/2,0,13.24656208,19.4150391
7.5BG,0.2,4,7.5BG 0.2/4,0,16.08975707,25.66688444
10BG,0.2,2,10BG 0.2/2,0,12.65073767,22.09363504
10BG,0.2,4,10BG 0.2/4,0,15.27182152,29.37627765
2.5B,0.2,2,2.5B 0.2/2,0,12.01710643,23.81763752
2.5B,0.2,4,2.5B 0.2/4,0,14.28625858,32.11754303
5B,0.2,2,5B 0.2/2,0,11.21306891,25.09737975
5B,0.2,4,5B 0.2/4,0,12.91970817,34.25472036
7.5B,0.2,2,7.5B 0.2/2,0,10.58562835,25.79113684
7.5B,0.2,4,7.5B 0.2/4,0,12.1587081,35.05405029
10B,0.2,2,10B 0.2/2,0,9.731773016,26.62732473
10B,0.2,4,10B 0.2/4,0,11.00606539,36.30435087
10B,0.2,6,10B 0.2/6,0,12.25149481,45.20253703
2.5PB,0.2,2,2.5PB 0.2/2,0,8.742639841,27.18070183
2.5PB,0.2,4,2.5PB 0.2/4,0,8.937127369,37.76731054
2.5PB,0.2,6,2.5PB 0.2/6,0,9.292904814,47.27446387
5PB,0.2,2,5PB 0.2/2,0,7.380044704,27.83287497
5PB,0.2,4,5PB 0.2/4,0,6.546907166,38.21058972
5PB,0.2,6,5PB 0.2/6,0,5.243250954,48.63973808
5PB,0.2,8,5PB 0.2/8,0,3.672971861,58.70871011
5PB,0.2,10,5PB 0.2/10,0,1.24320502,70.76098127
5PB,0.2,12,5PB 0.2/12,0,0,95.07677131
7.5PB,0.2,2,7.5PB 0.2/2,4.865845625,5.381339589,28.14622245
7.5PB,0.2,4,7.5PB 0.2/4,4.490137321,2.766056735,38.01174609
7.5PB,0.2,6,7.5PB 0.2/6,4.338342496,0,47.74749444
7.5PB,0.2,8,7.5PB 0.2/8,4.406103478,0,57.0614606
7.5PB,0.2,10,7.5PB 0.2/10,5.1840814,0,66.57130963
7.5PB,0.2,12,7.5PB 0.2/12,6.6468257,0,78.22277431
7.5PB,0.2,14,7.5PB 0.2/14,7.71957814,0,92.34882768
7.5PB,0.2,16,7.5PB 0.2/16,8.597426261,0,112.5513404
7.5PB,0.2,18,7.5PB 0.2/18,15.25645164,0,155.6840783
7.5PB,0.2,20,7.5PB 0.2/20,0,0,0
10PB,0.2,2,10PB 0.2/2,13.088136,2.860896143,27.92990952
10PB,0.2,4,10PB 0.2/4,16.81921923,0,36.54190815
10PB,0.2,6,10PB 0.2/6,21.21559416,0,44.93452557
10PB,0.2,8,10PB 0.2/8,25.48848926,0,52.69199689
10PB,0.2,10,10PB 0.2/10,29.18451502,0,59.09047711
10PB,0.2,12,10PB 0.2/12,34.2575265,0,67.84645881
10PB,0.2,14,10PB 0.2/14,39.71575048,0,77.56340726
10PB,0.2,16,10PB 0.2/16,46.89846005,0,89.67358077
10PB,0.2,18,10PB 0.2/18,57.99110558,0,109.3457935
10PB,0.2,20,10PB 0.2/20,82.63779746,0,151.3522729
2.5P,0.2,2,2.5P 0.2/2,16.99027724,1.500598223,27.15456829
2.5P,0.2,4,2.5P 0.2/4,22.12593977,0,35.19013883
2.5P,0.2,6,2.5P 0.2/6,27.22097824,0,42.74834725
2.5P,0.2,8,2.5P 0.2/8,31.91030101,0,49.8904038
2.5P,0.2,10,2.5P 0.2/10,36.09727682,0,55.62883613
2.5P,0.2,12,2.5P 0.2/12,40.68027902,0,62.36454555
2.5P,0.2,14,2.5P 0.2/14,46.31598624,0,70.2483633
2.5P,0.2,16,2.5P 0.2/16,52.93703028,0,79.57839113
2.5P,0.2,18,2.5P 0.2/18,62.71425892,0,93.33888033
5P,0.2,2,5P 0.2/2,20.37784882,0.149044427,26.15156774
5P,0.2,4,5P 0.2/4,26.11510111,0,33.59370293
5P,0.2,6,5P 0.2/6,31.1688374,0,39.92114818
5P,0.2,8,5P 0.2/8,36.65764591,0,46.66826616
5P,0.2,10,5P 0.2/10,40.81947535,0,51.73242377
5P,0.2,12,5P 0.2/12,45.74736045,0,57.45834127
5P,0.2,14,5P 0.2/14,51.12283147,0,64.02958921
7.5P,0.2,2,7.5P 0.2/2,21.78583665,0,25.47374475
7.5P,0.2,4,7.5P 0.2/4,27.9461209,0,32.92918153
7.5P,0.2,6,7.5P 0.2/6,32.79568673,0,38.78015994
7.5P,0.2,8,7.5P 0.2/8,38.09031556,0,45.24789339
7.5P,0.2,10,7.5P 0.2/10,42.18330585,0,50.02763727
7.5P,0.2,12,7.5P 0.2/12,47.46666865,0,56.18087907
10P,0.2,2,10P 0.2/2,22.81141517,0,24.67177413
10P,0.2,4,10P 0.2/4,29.04907161,0,31.81908203
10P,0.2,6,10P 0.2/6,34.43204725,0,38.02629475
10P,0.2,8,10P 0.2/8,39.53760108,0,43.84293047
10P,0.2,10,10P 0.2/10,43.56848253,0,48.36134216
2.5RP,0.2,2,2.5RP 0.2/2,24.09197091,0,23.79953098
2.5RP,0.2,4,2.5RP 0.2/4,30.54474121,0,30.6199527
2.5RP,0.2,6,2.5RP 0.2/6,36.1435224,0,36.44807125
2.5RP,0.2,8,2.5RP 0.2/8,40.76007334,0,41.4802287
2.5RP,0.2,10,2.5RP 0.2/10,45.73861298,0,46.54158865
5RP,0.2,2,5RP 0.2/2,25.54382053,0,22.30989967
5RP,0.2,4,5RP 0.2/4,32.46642315,0,28.48315546
5RP,0.2,6,5RP 0.2/6,38.08571661,0,33.70575489
5RP,0.2,8,5RP 0.2/8,43.09515102,0,38.45523789
7.5RP,0.2,2,7.5RP 0.2/2,27.39548516,0,20.14857302
7.5RP,0.2,4,7.5RP 0.2/4,34.62918241,0,25.50908953
7.5RP,0.2,6,7.5RP 0.2/6,40.49318261,0,29.87340675
7.5RP,0.2,8,7.5RP 0.2/8,45.98650961,0,34.0151191
10RP,0.2,2,10RP 0.2/2,28.62792673,0,17.66539671
10RP,0.2,4,10RP 0.2/4,36.43178151,0,22.43331687
10RP,0.2,6,10RP 0.2/6,42.20131603,0,26.08261105
2.5R,0.2,2,2.5R 0.2/2,29.71037012,0,14.12816784
2.5R,0.2,4,2.5R 0.2/4,38.15077434,0,17.796308
2.5R,0.2,6,2.5R 0.2/6,44.22582358,0,20.49664079
5R,0.2,2,5R 0.2/2,30.52485611,0,10.42394575
5R,0.2,4,5R 0.2/4,39.686537,0,13.193425
7.5R,0.2,2,7.5R 0.2/2,30.84145384,0,7.336928647
7.5R,0.2,4,7.5R 0.2/4,40.69721323,0,8.258319473
10R,0.2,2,10R 0.2/2,31.26416521,0,4.437474313
10R,0.2,4,10R 0.2/4,41.36381917,0,3.970244865
2.5YR,0.2,2,2.5YR 0.2/2,31.45802629,0,0.229803622
2.5YR,0.2,4,2.5YR 0.2/4,41.84404968,0,0
5YR,0.2,2,5YR 0.2/2,31.38322643,0,0
5YR,0.2,4,5YR 0.2/4,42.13809421,0,0
7.5YR,0.2,2,7.5YR 0.2/2,30.51582141,0,0
10YR,0.2,2,10YR 0.2/2,27.37671696,1.070611103,0
2.5Y,0.2,2,2.5Y 0.2/2,24.11984316,3.118554488,0
5Y,0.2,2,5Y 0.2/2,19.52512965,5.517831063,0
7.5Y,0.2,2,7.5Y 0.2/2,16.21632844,6.941359949,0
10Y,0.4,2,10Y 0.4/2,16.78970436,15.92718431,0
2.5GY,0.4,2,2.5GY 0.4/2,11.3246744,17.06658138,0
2.5GY,0.4,4,2.5GY 0.4/4,2.096099841,19.80880198,0
5GY,0.4,2,5GY 0.4/2,7.640306983,17.58369997,0.702215221
5GY,0.4,4,5GY 0.4/4,0,21.59740659,0
7.5GY,0.4,2,7.5GY 0.4/2,4.515737102,17.99445211,3.83452665
7.5GY,0.4,4,7.5GY 0.4/4,0,22.6366787,0
10GY,0.4,2,10GY 0.4/2,1.791071385,18.3328655,6.760531985
10GY,0.4,4,10GY 0.4/4,0,23.29953694,0
2.5G,0.4,2,2.5G 0.4/2,0.19014475,18.51510153,8.682609621
2.5G,0.4,4,2.5G 0.4/4,0,23.71376539,1.986389849
5G,0.4,2,5G 0.4/2,0,18.69049143,10.93805098
5G,0.4,4,5G 0.4/4,0,24.0329945,6.963100927
7.5G,0.4,2,7.5G 0.4/2,0,18.78907855,12.68452728
7.5G,0.4,4,7.5G 0.4/4,0,24.18464022,11.98730722
10G,0.4,2,10G 0.4/2,0,18.89756303,14.44530712
10G,0.4,4,10G 0.4/4,0,24.25190504,17.36470878
2.5BG,0.4,2,2.5BG 0.4/2,0,18.99926941,17.11640456
2.5BG,0.4,4,2.5BG 0.4/4,0,24.1578483,21.95452366
5BG,0.4,2,5BG 0.4/2,0,19.00967972,20.32139214
5BG,0.4,4,5BG 0.4/4,0,23.66804597,27.85832518
7.5BG,0.4,2,7.5BG 0.4/2,0,18.87692032,22.54899843
7.5BG,0.4,4,7.5BG 0.4/4,0,22.96071122,31.5949457
7.5BG,0.4,6,7.5BG 0.4/6,0,25.31920924,36.56730274
10BG,0.4,2,10BG 0.4/2,0,18.53416774,25.1784623
10BG,0.4,4,10BG 0.4/4,0,21.81475827,35.32318643
10BG,0.4,6,10BG 0.4/6,0,23.89280042,42.87459903
2.5B,0.4,2,2.5B 0.4/2,0,18.24355003,26.54537069
2.5B,0.4,4,2.5B 0.4/4,0,20.98638098,37.2481789
2.5B,0.4,6,2.5B 0.4/6,0,22.94627214,45.54017205
5B,0.4,2,5B 0.4/2,0,17.77130146,27.91220749
5B,0.4,4,5B 0.4/4,0,19.88449367,39.0020789
5B,0.4,6,5B 0.4/6,0,21.48118502,48.5656606
7.5B,0.4,2,7.5B 0.4/2,0,17.27425557,28.98015368
7.5B,0.4,4,7.5B 0.4/4,0,18.96251787,40.13166042
7.5B,0.4,6,7.5B 0.4/6,0,20.15704063,50.28615431
10B,0.4,2,10B 0.4/2,0,16.54892753,30.02287149
10B,0.4,4,10B 0.4/4,0,17.82966838,40.8913842
10B,0.4,6,10B 0.4/6,0,18.82679163,51.6501489
10B,0.4,8,10B 0.4/8,0,19.98910797,68.05401888
2.5PB,0.4,2,2.5PB 0.4/2,0.09199377,15.85601419,30.73025456
2.5PB,0.4,4,2.5PB 0.4/4,0,16.36817531,41.63774275
2.5PB,0.4,6,2.5PB 0.4/6,0,16.2541034,53.18957081
2.5PB,0.4,8,2.5PB 0.4/8,0,15.60068759,68.19408175
5PB,0.4,2,5PB 0.4/2,4.468818369,14.70819231,31.45946613
5PB,0.4,4,5PB 0.4/4,0,14.26763863,42.05846342
5PB,0.4,6,5PB 0.4/6,0,13.12022188,53.43370551
5PB,0.4,8,5PB 0.4/8,0,11.17212294,66.72887557
5PB,0.4,10,5PB 0.4/10,0,9.589860722,75.54799742
5PB,0.4,12,5PB 0.4/12,0,7.582508822,85.68295633
5PB,0.4,14,5PB 0.4/14,0,5.371853733,92.81690781
5PB,0.4,16,5PB 0.4/16,0,1.750088808,101.7544378
5PB,0.4,18,5PB 0.4/18,0,0,111.4184279
5PB,0.4,20,5PB 0.4/20,0,0,130.7083755
7.5PB,0.4,2,7.5PB 0.4/2,11.11104294,12.936779,32.046678
7.5PB,0.4,4,7.5PB 0.4/4,9.587974291,10.59658876,41.91894392
7.5PB,0.4,6,7.5PB 0.4/6,9.092198623,6.746922856,52.01160062
7.5PB,0.4,8,7.5PB 0.4/8,9.435527293,1.913630766,61.66894574
7.5PB,0.4,10,7.5PB 0.4/10,10.83408003,0,69.78200736
7.5PB,0.4,12,7.5PB 0.4/12,11.77301232,0,79.22157102
7.5PB,0.4,14,7.5PB 0.4/14,11.78782468,0,85.33077793
7.5PB,0.4,16,7.5PB 0.4/16,14.80602446,0,95.657705
7.5PB,0.4,18,7.5PB 0.4/18,15.46410812,0,106.179787
7.5PB,0.4,20,7.5PB 0.4/20,18.43934625,0,120.6781936
7.5PB,0.4,22,7.5PB 0.4/22,19.84801897,0,134.2950104
7.5PB,0.4,24,7.5PB 0.4/24,26.54529046,0,167.1893476
7.5PB,0.4,26,7.5PB 0.4/26,38.14536869,0,228.7986854
7.5PB,0.4,28,7.5PB 0.4/28,81.48548835,0,255
10PB,0.4,2,10PB 0.4/2,17.10087857,10.92457667,31.97045634
10PB,0.4,4,10PB 0.4/4,19.93122702,7.002034098,40.65551952
10PB,0.4,6,10PB 0.4/6,23.40699509,1.999023937,49.05626283
10PB,0.4,8,10PB 0.4/8,27.6550519,0,57.30074937
10PB,0.4,10,10PB 0.4/10,32.10566253,0,65.51176261
10PB,0.4,12,10PB 0.4/12,36.64857844,0,73.81850538
10PB,0.4,14,10PB 0.4/14,39.96242262,0,80.04969012
10PB,0.4,16,10PB 0.4/16,44.14023943,0,87.8488738
10PB,0.4,18,10PB 0.4/18,49.65580978,0,98.07221977
10PB,0.4,20,10PB 0.4/20,55.13859744,0,107.7183333
10PB,0.4,22,10PB 0.4/22,64.4154221,0,123.8128761
10PB,0.4,24,10PB 0.4/24,76.13506634,0,144.4027316
10PB,0.4,26,10PB 0.4/26,95.90246042,0,180.7167478
10PB,0.4,28,10PB 0.4/28,132.9140837,0,246.6914486
2.5P,0.4,2,2.5P 0.4/2,20.71959421,9.439164037,31.23439124
2.5P,0.4,4,2.5P 0.4/4,24.92087228,4.776036963,39.22522214
2.5P,0.4,6,2.5P 0.4/6,29.46181616,0,46.90053248
2.5P,0.4,8,2.5P 0.4/8,34.38028273,0,54.57312082
2.5P,0.4,10,2.5P 0.4/10,40.31063998,0,63.1663244
2.5P,0.4,12,2.5P 0.4/12,44.28046723,0,69.55340891
2.5P,0.4,14,2.5P 0.4/14,49.42627442,0,76.76267014
2.5P,0.4,16,2.5P 0.4/16,54.07975264,0,83.95971095
2.5P,0.4,18,2.5P 0.4/18,60.51393197,0,93.19471347
2.5P,0.4,20,2.5P 0.4/20,66.37477323,0,101.7925427
2.5P,0.4,22,2.5P 0.4/22,75.55733433,0,115.816689
2.5P,0.4,24,2.5P 0.4/24,84.37504168,0,128.9130198
2.5P,0.4,26,2.5P 0.4/26,106.1255666,0,160.597958
5P,0.4,2,5P 0.4/2,23.96469762,8.05911136,29.77601832
5P,0.4,4,5P 0.4/4,29.33802375,2.493074591,37.49841402
5P,0.4,6,5P 0.4/6,33.8846003,0,44.22464313
5P,0.4,8,5P 0.4/8,39.19080513,0,51.592866
5P,0.4,10,5P 0.4/10,45.1330815,0,59.37267426
5P,0.4,12,5P 0.4/12,49.91685674,0,66.34445371
5P,0.4,14,5P 0.4/14,55.11478954,0,72.92060309
5P,0.4,16,5P 0.4/16,60.67675899,0,80.42065313
5P,0.4,18,5P 0.4/18,65.83791728,0,87.57281237
5P,0.4,20,5P 0.4/20,72.82810509,0,96.6500965
7.5P,0.4,2,7.5P 0.4/2,25.93884422,7.113103925,28.84618737
7.5P,0.4,4,7.5P 0.4/4,31.54441428,1.340482679,36.11205302
7.5P,0.4,6,7.5P 0.4/6,36.49397745,0,42.47193133
7.5P,0.4,8,7.5P 0.4/8,42.00580591,0,49.38479204
7.5P,0.4,10,7.5P 0.4/10,48.08737769,0,57.11216248
7.5P,0.4,12,7.5P 0.4/12,53.65069564,0,64.17279895
7.5P,0.4,14,7.5P 0.4/14,59.57304722,0,71.14295226
7.5P,0.4,16,7.5P 0.4/16,64.47179841,0,77.3619991
7.5P,0.4,18,7.5P 0.4/18,72.0811262,0,86.40488461
10P,0.4,2,10P 0.4/2,27.31189998,6.48386354,27.85051149
10P,0.4,4,10P 0.4/4,33.19700908,0.467559283,34.82211447
10P,0.4,6,10P 0.4/6,38.3729955,0,40.56377872
10P,0.4,8,10P 0.4/8,44.07131132,0,47.34375398
10P,0.4,10,10P 0.4/10,51.68010842,0,55.7884562
10P,0.4,12,10P 0.4/12,57.10236857,0,62.01818877
10P,0.4,14,10P 0.4/14,62.35619132,0,67.86090688
10P,0.4,16,10P 0.4/16,68.80441916,0,75.31742745
2.5RP,0.4,2,2.5RP 0.4/2,28.30296936,6.044492539,26.9333788
2.5RP,0.4,4,2.5RP 0.4/4,34.6552219,0,33.34161898
2.5RP,0.4,6,2.5RP 0.4/6,40.24747037,0,38.94991014
2.5RP,0.4,8,2.5RP 0.4/8,46.22328792,0,44.92013338
2.5RP,0.4,10,2.5RP 0.4/10,53.9198071,0,52.5859483
2.5RP,0.4,12,2.5RP 0.4/12,59.98670628,0,58.61561739
2.5RP,0.4,14,2.5RP 0.4/14,66.56674088,0,65.14598772
5RP,0.4,2,5RP 0.4/2,29.72346979,5.37884231,25.55723712
5RP,0.4,4,5RP 0.4/4,36.66017149,0,31.26566716
5RP,0.4,6,5RP 0.4/6,42.39264973,0,36.13625757
5RP,0.4,8,5RP 0.4/8,48.93186275,0,42.0011425
5RP,0.4,10,5RP 0.4/10,57.58949279,0,49.56235446
5RP,0.4,12,5RP 0.4/12,63.03944585,0,54.61223298
7.5RP,0.4,2,7.5RP 0.4/2,31.19336927,4.75768517,23.49167348
7.5RP,0.4,4,7.5RP 0.4/4,38.43382258,0,28.39597097
7.5RP,0.4,6,7.5RP 0.4/6,44.72505897,0,32.75278153
7.5RP,0.4,8,7.5RP 0.4/8,51.21024495,0,37.52843123
7.5RP,0.4,10,7.5RP 0.4/10,60.72755953,0,44.73553109
10RP,0.4,2,10RP 0.4/2,32.14638316,4.448558208,21.42547723
10RP,0.4,4,10RP 0.4/4,39.97407533,0,25.4127776
10RP,0.4,6,10RP 0.4/6,46.56470439,0,29.04805748
10RP,0.4,8,10RP 0.4/8,53.54542906,0,33.15025299
10RP,0.4,10,10RP 0.4/10,64.45877704,0,39.71165188
2.5R,0.4,2,2.5R 0.4/2,33.28354284,4.086891045,18.50714386
2.5R,0.4,4,2.5R 0.4/4,41.63914162,0,21.37478108
2.5R,0.4,6,2.5R 0.4/6,48.52068526,0,24.08115888
2.5R,0.4,8,2.5R 0.4/8,56.1380431,0,27.41549999
2.5R,0.4,10,2.5R 0.4/10,66.89174987,0,32.2072199
5R,0.4,2,5R 0.4/2,33.93301659,4.065008771,15.31471554
5R,0.4,4,5R 0.4/4,42.77447118,0,16.73874079
5R,0.4,6,5R 0.4/6,50.02879584,0,18.51967679
5R,0.4,8,5R 0.4/8,58.27951204,0,20.79504041
7.5R,0.4,2,7.5R 0.4/2,34.28312809,4.155062661,12.53526624
7.5R,0.4,4,7.5R 0.4/4,43.43631012,0,12.59162469
7.5R,0.4,6,7.5R 0.4/6,50.90203788,0,13.53935972
7.5R,0.4,8,7.5R 0.4/8,59.5673312,0,15.15542351
10R,0.4,2,10R 0.4/2,34.5150945,4.28921206,9.740013162
10R,0.4,4,10R 0.4/4,44.00856642,0,8.045896558
10R,0.4,6,10R 0.4/6,51.82356347,0,7.219960525
10R,0.4,8,10R 0.4/8,60.40466936,0,7.367328912
2.5YR,0.4,2,2.5YR 0.4/2,34.55691333,4.785073026,4.826451068
2.5YR,0.4,4,2.5YR 0.4/4,44.74193166,0,0.619595425
2.5YR,0.4,6,2.5YR 0.4/6,52.51316881,0,0
2.5YR,0.4,8,2.5YR 0.4/8,60.70639465,0,0
5YR,0.4,2,5YR 0.4/2,34.41887318,5.396458443,0.190267398
5YR,0.4,4,5YR 0.4/4,44.53823119,0,0
5YR,0.4,6,5YR 0.4/6,51.01745188,0,0
7.5YR,0.4,2,7.5YR 0.4/2,33.77718235,6.348851267,0
7.5YR,0.4,4,7.5YR 0.4/4,43.54703446,0,0
10YR,0.4,2,10YR 0.4/2,32.19752042,7.994739165,0
2.5Y,0.4,2,2.5Y 0.4/2,29.34624239,10.30285936,0
5Y,0.4,2,5Y 0.4/2,26.2475831,12.26233621,0
7.5Y,0.4,2,7.5Y 0.4/2,21.888192,14.29385455,0
10Y,0.6,2,10Y 0.6/2,21.79420339,20.96733585,0
10Y,0.6,4,10Y 0.6/4,23.2579132,21.98702015,0
2.5GY,0.6,2,2.5GY 0.6/2,17.79256092,21.83023755,3.785926284
2.5GY,0.6,4,2.5GY 0.6/4,9.275125782,24.82991129,0
5GY,0.6,2,5GY 0.6/2,14.7958541,22.32809859,7.266420823
5GY,0.6,4,5GY 0.6/4,0,26.13054481,0
7.5GY,0.6,2,7.5GY 0.6/2,11.98700478,22.7076403,10.41457352
7.5GY,0.6,4,7.5GY 0.6/4,0,27.00702217,0
7.5GY,0.6,6,7.5GY 0.6/6,0,30.71255567,0
10GY,0.6,2,10GY 0.6/2,9.124170057,23.01344286,13.28750247
10GY,0.6,4,10GY 0.6/4,0,27.43531687,0.579276319
10GY,0.6,6,10GY 0.6/6,0,31.60896883,0
2.5G,0.6,2,2.5G 0.6/2,7.669315826,23.15058843,14.69913683
2.5G,0.6,4,2.5G 0.6/4,0,27.63012699,6.289082782
2.5G,0.6,6,2.5G 0.6/6,0,32.15592534,1.570701427
5G,0.6,2,5G 0.6/2,6.21304979,23.27446424,16.17988169
5G,0.6,4,5G 0.6/4,0,27.7847186,11.77314552
5G,0.6,6,5G 0.6/6,0,32.54667984,9.767714713
7.5G,0.6,2,7.5G 0.6/2,4.743196677,23.38502961,17.74047936
7.5G,0.6,4,7.5G 0.6/4,0,27.86530102,16.13602319
7.5G,0.6,6,7.5G 0.6/6,0,32.70753468,16.90137409
10G,0.6,2,10G 0.6/2,3.00003788,23.51833119,19.43208597
10G,0.6,4,10G 0.6/4,0,27.92329055,20.43497456
10G,0.6,6,10G 0.6/6,0,32.64242482,23.41848274
2.5BG,0.6,2,2.5BG 0.6/2,1.446736162,23.60253419,21.19336698
2.5BG,0.6,4,2.5BG 0.6/4,0,27.82682688,24.64575381
2.5BG,0.6,6,2.5BG 0.6/6,0,32.40964957,29.76417863
5BG,0.6,2,5BG 0.6/2,0,23.6712393,23.89751733
5BG,0.6,4,5BG 0.6/4,0,27.54128313,30.2702885
5BG,0.6,6,5BG 0.6/6,0,31.48448634,38.12573254
7.5BG,0.6,2,7.5BG 0.6/2,0,23.62117911,25.76518576
7.5BG,0.6,4,7.5BG 0.6/4,0,27.17913411,33.59286108
7.5BG,0.6,6,7.5BG 0.6/6,0,30.71550268,41.90085458
10BG,0.6,2,10BG 0.6/2,0,23.43910237,27.99972911
10BG,0.6,4,10BG 0.6/4,0,26.56189962,37.73720552
10BG,0.6,6,10BG 0.6/6,0,29.57454052,47.03637049
2.5B,0.6,2,2.5B 0.6/2,0,23.17051911,29.92343403
2.5B,0.6,4,2.5B 0.6/4,0,25.80362482,40.29389852
2.5B,0.6,6,2.5B 0.6/6,0,28.2358872,50.19263084
2.5B,0.6,8,2.5B 0.6/8,0,32.37408459,64.42965447
5B,0.6,2,5B 0.6/2,0,22.6843644,31.70356863
5B,0.6,4,5B 0.6/4,0,24.72462322,42.3490692
5B,0.6,6,5B 0.6/6,0,26.78147987,52.29704396
5B,0.6,8,5B 0.6/8,0,29.98396624,67.4230719
7.5B,0.6,2,7.5B 0.6/2,1.02818209,22.20674975,32.8864333
7.5B,0.6,4,7.5B 0.6/4,0,23.79648914,43.6068468
7.5B,0.6,6,7.5B 0.6/6,0,25.61251381,54.10960184
7.5B,0.6,8,7.5B 0.6/8,0,28.23871543,68.39495019
10B,0.6,2,10B 0.6/2,3.84240717,21.58344893,33.75446406
10B,0.6,4,10B 0.6/4,0,22.80209642,44.35342122
10B,0.6,6,10B 0.6/6,0,23.78088533,55.63803199
10B,0.6,8,10B 0.6/8,0,25.14229285,69.54234072
2.5PB,0.6,2,2.5PB 0.6/2,6.959318634,20.93293808,34.35054122
2.5PB,0.6,4,2.5PB 0.6/4,0,21.38351146,45.22621949
2.5PB,0.6,6,2.5PB 0.6/6,0,21.70647663,56.72824056
2.5PB,0.6,8,2.5PB 0.6/8,0,21.98479734,69.0776104
2.5PB,0.6,10,2.5PB 0.6/10,0,22.28739179,81.43592923
2.5PB,0.6,12,2.5PB 0.6/12,0,22.56580278,91.55764005
5PB,0.6,2,5PB 0.6/2,11.02072922,20.09271877,34.89634625
5PB,0.6,4,5PB 0.6/4,1.567395461,19.62528141,45.63685927
5PB,0.6,6,5PB 0.6/6,0,18.79013821,57.09877204
5PB,0.6,8,5PB 0.6/8,0,17.58053472,68.91559818
5PB,0.6,10,5PB 0.6/10,0,16.11790517,79.48744798
5PB,0.6,12,5PB 0.6/12,0,14.52046601,88.38130946
5PB,0.6,14,5PB 0.6/14,0,12.64474907,96.89323362
5PB,0.6,16,5PB 0.6/16,0,9.765309067,106.4929235
5PB,0.6,18,5PB 0.6/18,0,5.884547732,119.2142903
5PB,0.6,20,5PB 0.6/20,0,0,137.2069577
5PB,0.6,22,5PB 0.6/22,0,0,157.3442126
7.5PB,0.6,2,7.5PB 0.6/2,17.27432544,18.51796651,35.31479969
7.5PB,0.6,4,7.5PB 0.6/4,15.80690236,16.53495002,45.69020609
7.5PB,0.6,6,7.5PB 0.6/6,15.06477462,13.33903964,55.96677517
7.5PB,0.6,8,7.5PB 0.6/8,15.05372792,8.767676029,65.26998391
7.5PB,0.6,10,7.5PB 0.6/10,15.60199367,2.990813548,74.24813607
7.5PB,0.6,12,7.5PB 0.6/12,16.46377797,0,82.00508059
7.5PB,0.6,14,7.5PB 0.6/14,17.05053248,0,89.29654231
7.5PB,0.6,16,7.5PB 0.6/16,18.45396102,0,97.3154413
7.5PB,0.6,18,7.5PB 0.6/18,20.3275874,0,107.560606
7.5PB,0.6,20,7.5PB 0.6/20,21.98686216,0,119.4291693
7.5PB,0.6,22,7.5PB 0.6/22,23.89192792,0,130.5388055
7.5PB,0.6,24,7.5PB 0.6/24,26.52093564,0,145.2536267
7.5PB,0.6,26,7.5PB 0.6/26,32.45904308,0,171.6102678
7.5PB,0.6,28,7.5PB 0.6/28,43.94867311,0,221.4071846
7.5PB,0.6,30,7.5PB 0.6/30,59.82339041,0,255
10PB,0.6,2,10PB 0.6/2,22.48144949,16.80188024,35.23012627
10PB,0.6,4,10PB 0.6/4,25.03837572,13.42146979,44.1583787
10PB,0.6,6,10PB 0.6/6,28.37212491,8.261443002,52.4445964
10PB,0.6,8,10PB 0.6/8,32.2759192,1.209379431,61.16767869
10PB,0.6,10,10PB 0.6/10,35.7385972,0,68.14902778
10PB,0.6,12,10PB 0.6/12,39.34590157,0,74.64482967
10PB,0.6,14,10PB 0.6/14,43.49473571,0,82.87902307
10PB,0.6,16,10PB 0.6/16,47.32983906,0,89.73016705
10PB,0.6,18,10PB 0.6/18,52.13050504,0,98.26148324
10PB,0.6,20,10PB 0.6/20,57.38576857,0,107.8072849
10PB,0.6,22,10PB 0.6/22,63.07251241,0,118.385381
10PB,0.6,24,10PB 0.6/24,69.69360538,0,129.7813922
10PB,0.6,26,10PB 0.6/26,80.89238901,0,148.7951905
10PB,0.6,28,10PB 0.6/28,98.17117161,0,179.6820205
